Cust#,cContactId,Customer#,Company,Contact,Department,Territory,Manager,Phone,Address,Sales Rep,Status
6115,5138,,Graciano’s Market,hector,,,,2244121049,"2379 bode re, Schaumburg, IL 60194",Sales Rep 1,Customer
6138,5161,,Guatemala Supermarket,Sheila,,,,6-377-3995,"316 Washington Ave, Homestead, FL 33030",Manager,Customer
6153,5176,,Guines Market,Geuris Paulino,,,,3056389759,"2300 NW 28th Street, Miami, FL 33142",Manager,Customer
6118,5141,,GUZMAN BROTHERS,Antonio,,,,0000000000,"1745 W Algonquin Rd, Mount Prospect, IL 60056",Sales Rep 1,Customer
6178,5201,,INTERNATIONAL FOOD,mohamad jarad,,,,,"4404 W FULLERTON, Chicago, IL 60639",Manager,Customer
5728,4751,,Jalisco Grocery Cold Water,NA,,,,,"35 W Chicago ST, Coldwater, MI 49036",,Customer
5673,4696,,Jireh Bakery,NA,,,,1630352800,"1088 W Irving Park Rd, Bensenville, IL 60106",Manager,Customer
6111,5134,-999462,Jireh Bakery,Evelyn/Marleny,,,,6305093206,"229 W grand ave suite C, Bensenville, IL 60106",Sales Rep 1,Customer
6175,5198,,Jireh Bakery,Evelyn,,,,,"229 W Grand Ave, Bensenville, IL 60106",Manager,Customer
5721,4744,,LA BODEGA - Food Market,NA,,,,1773285577,"5900 W Montrose Ave, Harwood Hgts, IL 60634",,Customer
5677,4700,,La chiquita,NA,,,,1630593530,"219 W Main St, Bensenville, IL 60106",,Customer
5680,4703,,La chiquita,NA,,,,1630593530,"219 W Main St, Bensenville, IL 60106",,Customer
5682,4705,,La conchita,NA,,,,1847459110,"9709 Franklin Ave, Schiller Park, IL 60131",,Customer
5723,4746,,La Conchita Supermarket,NA,,,,1847459110,"9709 Franklin Ave, Schiller Park, IL 60131",,Customer
5727,4750,,La esperanza,NA,,,,,"300 n centerville st, Sturgis, MI 49091",,Customer
6150,5173,,La Fama Supermarket,Diana,,,,0000000000,"2288 NW 28th St, Miami, FL 33142",Manager,Customer
6176,5199,,LA FAMILIA FRESH MARKET,Reinaldo,,,,,"443 S FOURTH ST, Aurora, IL 60505",Manager,Customer
6114,5137,,La Gloria,Candy,,,,7738471867,"4117 S Keszie, Chicago, IL 60632",Sales Rep 1,Customer
6126,5149,-999232,La Guatemalteca,Juan carlos,,,,6307885942,"305 E Irving Park rd Woodall, Wood Dale, IL 60191",Manager,Customer
6167,5190,,La Guatemalteca,juan carlos,,,,,"305 E Irving Park Rd, Wood Dale, IL 60191",Manager,Customer
6141,5164,,La Guera Mexican Market,Yadira,,,,-601-77-59,"22141 S Dixie Hwy , Miami, FL 33170",Manager,Customer
5674,4697,,La Huerta #1 Supermercado,NA,,,,1630629232,"396 W Lake St, Addison, IL 60101",,Customer
6110,5133,-999238,LA HUERTA #2,Armando,,,,6303501661,"224 W Green st , Bensenville, IL 60106",Sales Rep 1,Customer
5675,4698,,La Huerta Supermercado,NA,,,,1630351661,"224 W Green St, Bensenville, IL 60106",,Customer
6139,5162,,La Morenita Supermarket,Mabel,,,,5-242-2747,"29609 SW 162nd Ave, Homestead, FL 33033",Manager,Customer
5724,4747,,La Tienda Michoacana,NA,,,,1708667134,"6850 W Belmont Ave, Harwood Hgts, IL 60634",,Customer
5725,4748,,Lalos produce,NA,,,,,"2711 benham ave, Concord, IN 46517",,Customer
6145,5168,,Los Cubanitos Market,Jimmy,,,,0000000000,"987 SW 4th St, Miami, FL 33130",Manager,Customer
6140,5163,,Lucky Meat II,Rocio Perez,,,,3052456182,"291 W Mowry Dr,, Homestead, FL 33030",Manager,Customer
6157,5180,,Market 505 Corp,Julian,,,,0000000000,"11006 west Flagler st , Miami, FL 33174",Manager,Customer
6147,5170,,Mega Mart Of Pompano,Ruddy,,,,6319021202,"1404 NW 6th Ave , Margate, FL 33060",Manager,Customer
5685,4708,,Melrose Jimenez,NA,,,,,"717 N 19th Ave, Melrose Park, IL 60160",,Customer
6106,5129,,MEMO GROCERY / CICERO,Memo,,,,7085392970,"4901 w 31 st, Cicero, IL 60804",Sales Rep 1,Customer
6172,5195,,"MEMO GROCERY, INC.",Guillermo,,,,,"4901 W 31ST St, Cicero, IL 60804",Manager,Customer
6137,5160,,Mexico Market,Lucia,,,,5-248-4111,"407 Park Place, Homestead, FL 33030",Manager,Customer
5713,4736,,Montrose Food Mart & Deli Catering,NA,,,,1773627515,"6601 W Irving Park Rd, Chicago, IL 60634, Harwood Hgts, IL 60634",,Customer
5691,4714,,North Pulaski Fresh Market,NA,,,,1773233637,"3850 W North Ave, Roberto Clemente, IL 60647",,Customer
6108,5131,,ORDEN PROVISIONAL,NA,,,,,"ORDEN PROVISIONAL, Chicago, IL",Sales Rep 1,Customer
6144,5167,,Pompano Meat & Fish,Judith,,,,4-366-3103,"799 S Dixie , Margate, FL 33060",Manager,Customer
6154,5177,,Premiere Market,Morena,,,,7865183644,"2254 NW 28 St, Miami, FL 33142",Manager,Customer
5670,4693,,Rich's Fresh Market,NA,,,,1708571111,"3141 N Thatcher Ave, River Grove, IL 60171",,Customer
5690,4713,,Rico Fresh Market,NA,,,,1773227972,"3552 W Armitage Ave, Roberto Clemente, IL 60647",,Customer
5697,4720,,Rico Fresh Market,NA,,,,1773227972,"3552 W Armitage Ave, Roberto Clemente, IL 60647",,Customer
5669,4692,,RIO VALLEY / FRANKLIN PARK,Juan,,,,7737170004,"2745 Mannheim Rd, Franklin Park, IL 60131",Sales Rep 1,Customer
6107,5130,,RIO VALLEY 63 / CHICAGO,Moya,,,,7738225267,"3307 w 63rd st, Chicago, IL 60629",Sales Rep 1,Customer
6146,5169,,Rios Meat Market - Grocery,Leonardo,,,,4-933-3065,"3931 N Federal Hwy , Margate, FL 33064",Manager,Customer
6152,5175,,Riviera Supermarket,Claudia,,,,7864470308,"1710 NW 17th Ave, Miami, FL 33125",Manager,Customer
6142,5165,,Rubio Dollar Discount,Damsel,,,,6-523-4463,"3553 W 76 St, Hialeah, FL 33018",Manager,Customer
5726,4749,,San Miguel Grocery,NA,,,,,"211 jacob st, Sturgis, MI 49091",,Customer
6151,5174,,Santa Barbara Grocery,Dionys,,,,5-324-0586,"1818 NW 18th Ave, Miami, FL 33125",Manager,Customer
6156,5179,,Santo Domingo Mini Market,Ana,,,,9549812474,"6421 Pembroke Rd, Miramar, FL 33023",Manager,Customer
6130,5153,-999840,Save a lat,Jeison,,,,3312628153,"212 N lake , Aurora, IL 60506",Manager,Customer
6134,5157,,Siempre Nica,Heidi,,,,5-282-3895,,Manager,Customer
5717,4740,,Stefania's European Food Market,NA,,,,1773412981,"5050 N Cumberland Ave, Harwood Hts, IL 60706",,Customer
6149,5172,,Supermarket La Faja,Diana,,,,5-633-0954,"2288 NW 28th St, Miami, FL 33142",Manager,Customer
5706,4729,,Supermercado Sanchez Inc,NA,,,,,"5924 W 35TH ST , Chicago, IL 60804",,Customer
5681,4704,,Supermercado Torres,NA,,,,1708540549,"5447 Saint Charles Rd, Melrose Park, IL 60163",,Customer
5684,4707,,Supermercado Torres,NA,,,,1708344792,"124 N 19th Ave, Melrose Park, IL 60160",,Customer
5699,4722,,Supermercado Trejo,NA,,,,,"2319 S. Central , Chicago, IL 60804",,Customer
5709,4732,,Supermercados ROSSY-S,NA,,,,,"6030 W 26TH ST , Chicago, IL 60804",,Customer
6120,5143,,T y C Grocery Market,Elvia,,,,3127149972,"4754 N Bernard , Chicago, IL 60625",Sales Rep 1,Customer
5708,4731,,Torres Fresh Market,NA,,,,,"6227 W 26TH ST, Stickney, IL 60402",,Customer
5701,4724,,Valles Produce,NA,,,,,"6603 W. 26TH. ST., Stickney, IL 60402",,Customer
5703,4726,,Valles Produce #2,NA,,,,,"6323 W. CERMAK ROAD , Stickney, IL 60402",,Customer
5679,4702,,Villa Park Fruit Market,NA,,,,1630615252,"302 W North Ave, Oakbrook Terrace, IL 60181",,Customer
6181,5204,,WALEED TRADING,mohamed,,,,,"3524 w. montrose ave., Chicago, IL 60618",Manager,Customer
